id	decision	reason	evidence	verification	work_packages
D001	Delete core after splitting object, bucket, provider I/O, transfer, usage, and project-maintenance ownership	ObjectManager is a route-wide aggregate with 116 declared methods; a rename preserves the broad constructor	internal/core/service.go; internal/core/object_*.go; internal/core/bucket_catalog.go; internal/core/multipart.go; internal/core/usage.go	No core imports or ObjectManager route parameters; focused domain tests and full suite pass	WP08,WP09,WP10,WP11,WP12,WP14
D002	Use distinct RecordID, ContentID, Record, and CanonicalContent values	A physical persisted record and a prepared same-checksum view have different identity and listing semantics	internal/models/object.go; internal/core/object_canonicalization.go; internal/core/content_identity_regression_test.go	Raw-record and canonical-content tests preserve stable IDs, replicas, aliases, public state, and maintenance prepared listings	WP01,WP04,WP07,WP10
D003	Keep generated API values and codecs in HTTP adapters	InternalObject embeds generated DRS and owns observable custom JSON behavior	internal/models/object.go; internal/models/object_codec.go; internal/db/*/object_hydration.go	No generated imports in domain or persistence; wire tests preserve id/did, hashes, retired fields, aliases, and unknown properties	WP01,WP04,WP07
D004	Delete internal/db and put narrow ports beside consumers	The 18 interfaces combine unrelated capabilities; consumers use different subsets and backends only assert the aggregate	internal/db/interface.go; internal/core/service.go; internal/api/metrics/server.go	No internal/db imports; both adapters satisfy every listed consumer port; optimized and fallback tests pass	WP07,WP14
D005	Keep SQLite and PostgreSQL as separate persistence adapters	Their locks, placeholders, JSON/time types, transactions, and upgrade behavior differ materially	internal/db/sqlite; internal/db/postgres	Both focused suites pass; live PostgreSQL runs when DSN is available and any skip is recorded	WP07,WP14
D006	Merge session and policy under internal/access and separate authentication integrations	Policy immediately consumes the session, while middleware mixes Fiber with local, Gen3, JWT, and process mechanisms	internal/auth/session.go; internal/authz/authz.go; internal/api/middleware	No old auth/authz imports; access has no Fiber/core/DB dependency; middleware and server auth tests pass	WP02,WP03,WP14
D007	Make buckets the only credential, scope, visibility, cache, and invalidation owner	Current bucket catalog owns CRUD/cache, while providers need only credential lookup	internal/core/bucket_catalog.go; internal/db/interface.go; internal/urlmanager/manager.go	No buckets-to-storage-parent or buckets-to-objects edge; cache and optimized/fallback visibility tests pass	WP05,WP08
D008	Use storage/address as the shared leaf and let storage lookup return bucket-owned values	Buckets and storage need the same provider/scheme/bucket-key syntax without a cycle or duplicate credential DTO	internal/common/provider.go; internal/common/storage_url.go; internal/urlmanager/manager.go	Address imports stdlib only; alias matrix passes; storage imports no bucket service and parent imports no provider child	WP05,WP08,WP09
D009	Move URL signing, multipart, probe, inventory, and deletion I/O to storage with provider children	urlmanager and signer split one provider system, while core directly owns a second set of provider SDK operations	internal/urlmanager; internal/signer; internal/core/object_storage_*.go	No old imports; provider contract suites pass without expiry, range, ordering, fallback, cache, or file-root changes	WP09,WP14
D010	Put event/grant values and identity in usage; put access and multipart orchestration in transfers	Accounting/report consumers share event identity, while transfer workflow composes objects, buckets, storage, and a recorder	internal/api/attribution/attribution.go; internal/core/usage.go; internal/api/metrics	No usage-to-transfers edge; event/grant identity matches both SQL dialects; issuance and metrics route tests pass	WP06,WP11
D011	Move pending LFS state and workflow to transfers; keep protocol behavior in httpapi/lfs	The current LFS server mixes generated response/media contracts with target, multipart, pending-row, and accounting work	internal/api/lfs/handlers.go; internal/api/lfs/actions.go; internal/models/storage.go	Generated LFS response tests, old pending-row round trips, multipart flow, and route tests pass	WP04,WP07,WP11
D012	Put scope repair in maintenance/scoperepair and project inspection/cleanup in maintenance/projectstorage	These workflows combine object records, bucket visibility/scopes, and provider I/O, so none of those lower-level domains can own them	internal/repair; internal/api/internaldrs/repair_cleanup.go; internal/core/object_storage_inventory.go; internal/core/object_storage_delete.go	Maintenance has no generated imports; prepared listing, inspection, inventory comparison, cleanup, and bulk-delete contracts pass unchanged	WP12
D013	Split internal HTTP packages by workflow and keep a tiny explicit mount owner	internaldrs recursively mounts unrelated records, transfers, buckets, inspection, and repair; a namespace rename would retain it	internal/api/internaldrs; internal/api/drsapi/routes.go; cmd/server/options.go	Exact method/path/alias/order parity; zero routeutil and old API imports; generated DRS adoption remains deferred	WP01,WP13,WP14
D014	Delete common and models after symbol-level migration	They share representations and helpers across unrelated owners; keeping residue would restore accidental coupling	internal/common; internal/models	Zero imports; common destination contracts and object/bucket/usage wire tests pass	WP02,WP04,WP05,WP06,WP14
D015	Rename crypto to credentialcipher but preserve dynamic key selection during structural moves	Every operation is credential-specific and currently re-reads manager/key environment, which is observable behavior	internal/crypto/credential_envelope.go; internal/crypto/credential_key_manager.go; internal/db/*/credentials.go	V1, V2, plaintext, purpose string, audit, and per-operation environment behavior remain green	WP07,WP14
D016	Keep config environment export and plugin inheritance until a separate characterized behavior change	LoadConfig mutates parent process state and plugin subprocesses inherit it; deleting the bridge during reorganization changes behavior	internal/config/config_auth_environment.go; internal/api/middleware/middleware.go; plugins/*/main.go	File/env precedence, successive loads, mock fallback, and child plugin inheritance are pinned before any later removal	WP01,WP03
D017	Delete internal/testutils in favor of one SQLite fixture and consumer-local fakes	The broad mock implements unrelated database and URL behavior and supplies defaults that can hide missing wiring	internal/testutils/mocks.go; internal/testutils/database.go	No testutils imports; no production testsupport dependency; each fake implements only its consumer port	WP14
D018	Keep internal/version and its linker contract unchanged	The package is cohesive and moving it would change Makefile -X paths without improving ownership	internal/version/version.go; Makefile	Version command output and release linker flags remain valid	WP14
